id,name,purpose,mmname,position,party
136,All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Andrew Bowie,Vice Chair,Conservative
137,All-Party Parliamentary Group on Green Deal Misselling,To gather evidence from constituents who have been missold home improvements such as solar panels or insulation from rogue traders operating under the Green Deal.  The group aims to find solutions for affected constituents and to prevent similar problems occurring under the new Green Deal.,Andrew Bowie,Officer,Conservative
138,All-Party Parliamentary Group for Scottish Sport,To discuss and advance issues of importance to Scottish sport by complementing the work of the Scottish government and all Scottish governing bodies.,Andrew Bowie,Vice-Chair,Conservative
139,All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Andrew Bowie,Officer,Conservative
140,All-Party Parliamentary Group on Uzbekistan,"To develop good relations between the people, legislatures and governments of our two countries.",Andrew Bridgen,Chair & Registered Contact,Conservative
141,All-Party Parliamentary Group for Energy Intensive Industries,To provide a forum for MP's and Peers to discuss and learn about issues of concern to the UK's energy intensive industries.,Andrew Bridgen,Co-Chair,Conservative
142,All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Andrew Griffiths,Hon Life President,Conservative
143,All-Party Parliamentary Thrombosis Group,"To promote awareness amongst parliamentarians about the risk and management of venous thromboembolism (VTE); to increase knowledge of its causes, effects, and treatments; and to monitor the implementation of government initiatives and other research being undertaken.",Andrew Gwynne,Vice Chair,Labour
144,All-Party Parliamentary Group on Tanzania,To bring together members of both Houses of Parliament to discuss issues relating to Tanzania.,Andrew Lewer,Vice Chair,Conservative
145,All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom and aim to help support British industrial heritage sites in a time of austerity.,Andrew Lewer,Vice Chair,Conservative
146,All-Party Parliamentary Group on Motor Neurone Disease,"To raise awareness of Motor Neurone Disease (MND) and to provide a forum for discussion among parliamentarians on issues that affect people with MND, their carers and families.",Andrew Lewer,Vice Chair,Conservative
147,All-Party Parliamentary Group on Publishing,"To promote the value of high quality publishing to UK society, culture and the economy.  To foster a better understanding among parliamentarians about publishers, booksellers and associated fields, all of whom contribute to a world-leading publishing sector.",Andrew Lewer,Chair & Registered Contact,Conservative
148,"All-Party Parliamentary Group on Reform, Decentralisation and Devolution","To allow for cross-party discussions on constitutional reform, decentralisation and devolution and the need for a UK-wide settlement.",Andrew Lewer,Chair & Registered Contact,Conservative
149,All-Party Parliamentary Group for SME (Small and Medium-sized Enterprises) House Builders,"To examine the operations of SME (Small and Medium-sized Enterprises) House Builders in the UK; discover and highlight best practice; review the regulatory environment affecting the market, looking at ways of improving the delivery of new homes, and making recommendations on how Parliament can improve regulation to deliver more effective building of homes by SMEs.",Andrew Lewer,Chair & Registered Contact,Conservative
150,All-Party Parliamentary Group for American Football,To support the sport of American football.,Andrew Percy,Vice Chair,Conservative
151,All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,Andrew Percy,Vice Chair,Conservative
152,All-Party Parliamentary Group for British Bioethanol,"To raise awareness of the industry, its economic impact, the supporting role it plays for British agriculture, and the environmental benefits of the bioethanol it produces. To promote the introduction of E10 fuel in the UK, help provide information and provide a greater understanding amongst parliamentarians and consumers.",Andrew Percy,Vice Chair,Conservative
153,All-Party Parliamentary Group on Commercial Radio,To seek a better understanding between broadcasters and parliamentarians about the vital role that radio plays in our communities and our economy.,Andrew Percy,Vice Chair,Conservative
154,All-Party Parliamentary Group on Debt and Personal Finance,To provide a forum for MPs and peers to discuss debt and personal finance issues; to monitor legislative and other developments in this area; and to provide an opportunity for liaison between members and consumer organisations with an interest in these issues.,Andrew Percy,Vice Chair,Conservative
155,All-Party Parliamentary Group for Music Education,"To support parliamentarians engaging in discussions relating to music education through early years, primary, secondary, SEND, further and higher education, and lifelong learning. The Group shall have a particular focus on Curriculum, the National Plan for Music Education, challenges facing higher education and progression into the creative and cultural sector.",Andrew Percy,Co-Chair,Conservative
